,Preço atual,Preço original,Nome do produto,Marca,Peso(em ML),Revendedor,Link principal
1,"R$ 6,59","R$ 6,59",Óleo de Soja ,Soya,900ml,Clube Extra,https://www.clubeextra.com.br/produto/124153/oleo-de-soja-soya-garrafa-900ml
2,"R$ 6,69","R$ 6,69",Óleo de Soja ,Soya,900ml,Pão de Açúcar,https://www.paodeacucar.com/produto/124153/oleo-de-soja-soya-garrafa-900ml
3,"R$ 6,49","R$ 6,49",Óleo de Soja ,Soya,900ml,Supermercado Olho D'Água,https://superolhodagua.instabuy.com.br/p/Oleo-de-Soja-SOYA-900ml
4,"R$ 6,99","R$ 6,99",Óleo de Soja ,Soya,900ml,Oba Hortifruti,https://www.obahortifruti.com.br/oleo-de-soja-soya-900-ml/p
5,"R$ 6,58","R$ 6,58",Óleo de Soja ,Soya,900ml,Trimais Supermercados,https://www.trimais.com.br/oleo-de-soja-soya-garrafa-900ml/p
6,"R$ 8,99","R$ 8,99",Óleo de Soja ,Soya,900ml,Bomboi Mercado de Carnes,https://madureira.acouguebomboi.com.br/produto/oleo-de-soja-900ml/
7,"R$ 9,59","R$ 9,59",Óleo de Soja ,Soya,900ml,Mikami,https://mikami.instabuy.com.br/p/Oleo-de-Soja-Soya-Garrafa-900ml
8,"R$ 5,99","R$ 5,99",Óleo de Soja ,Soya,900ml,Hortifruti,https://hortifruti.com.br/oleo-de-soja-soya-garrafa-900ml.html
9,"R$ 5,95","R$ 6,99",Óleo de Soja ,Soya,900ml,Zona Sul Supermercados,https://www.zonasul.com.br/oleo-de-soja-soya-900ml-102350/p
10,"R$ 7,89","R$ 7,89",Óleo de Soja ,Soya,900ml,Super Mais Supermercados,https://www.supermercadossupermais.com.br/produtos/codigo-7891107101621/
11,"R$ 8,39","R$ 8,39",Óleo de Soja ,Soya,900ml,Pátio Gourmet,https://www.patiogourmet.com.br/oleo-de-soja-soya-garrafa-900ml/p
12,"R$ 7,89","R$ 7,89",Óleo de Soja ,Soya,900ml,Nosso Pão,https://supermercadopaonosso.instabuy.com.br/p/Oleo-de-Soja-Soya-Garrafa-900ml
13,"R$ 5,75","R$ 5,75",Óleo de Soja ,Soya,900ml,SV São Vicente,https://www.svicente.com.br/%C3%93leo-De-Soja-Soya-Pet-900ml-9016.html
14,"R$ 6,29","R$ 7,99",Óleo de Soja ,Soya,900ml,SuperTem,https://supertem.com.br/loja/oleo-soja-soya-900ml/
15,"R$ 5,95","R$ 5,95",Óleo de Soja ,Soya,900ml,Arena atacado,https://www.arenaatacado.com.br/%C3%93leo-De-Soja-Soya-Pet-900ml-9016.html
16,"R$ 9,99","R$ 9,99",Óleo de Soja ,Soya,900ml,Empório Muro Alto,https://emporiomuroalto.com.br/loja/produto/oleo-soja-soya-900-ml-pet-1964/
17,"R$ 5,69","R$ 5,98",Óleo de Soja ,Soya,900ml,Lavagnoli Supermercados,https://www.lavagnoli.com.br/oleo-soya-pet-900ml/p
18,"R$ 6,17","R$ 6,86",Óleo de Soja ,Soya,900ml,Bistek Supermercados,https://www.bistek.com.br/oleo-de-soja-soya-900ml-pet-1030981/p
